Training started for param set: flappybirdv0
Best reward = -8.10 at episode 1
Best reward = -7.50 at episode 2
Best reward = -6.90 at episode 6
Best reward = -5.70 at episode 16
Best reward = -5.10 at episode 21
Best reward = -4.50 at episode 31
Best reward = -3.30 at episode 75
Best reward = -2.10 at episode 131
Best reward = -0.90 at episode 149
Best reward = 0.30 at episode 240
Best reward = 2.10 at episode 262
Best reward = 2.40 at episode 302
Best reward = 4.80 at episode 390
Best reward = 5.60 at episode 1752
Best reward = 6.50 at episode 1791
Best reward = 7.50 at episode 2027
Best reward = 8.10 at episode 2303
Best reward = 9.00 at episode 5273
Best reward = 10.80 at episode 6553
Best reward = 11.00 at episode 7959
Best reward = 12.60 at episode 9358
Best reward = 14.70 at episode 10082
